X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ko:K00002,1467.797605,-0.627393688,0.156504184,-4.008798172,6.10285467028184e-05,0.000414297
ko:K00003,48325.90024,0.361017146,0.08902645,4.055167248,5.00984439051007e-05,0.000344836
ko:K00004,2311.036205,0.467710151,0.104812484,4.462351535,8.10650924358938e-06,6.84099899636412e-05
ko:K00011,2758.924341,-0.835432749,0.214514676,-3.894524906,9.83913826970202e-05,0.000642144
ko:K00018,8754.832866,0.608291316,0.130287784,4.668828483,3.02922138496282e-06,2.8441023003262e-05
ko:K00020,18598.65575,0.31493339,0.12174955,2.586731446,0.009689108,0.033310197
ko:K00027,119318.3013,-2.665264799,0.831084313,-3.206972816,0.001341397,0.006148786
ko:K00030,18335.48385,0.590831545,0.142071088,4.158703611,3.2005886585662e-05,0.000229913
ko:K00032,5937.06385,-3.81720947,0.19301653,-19.77659363,4.73624253130288e-87,7.60403738400678e-84
ko:K00033,35165.5781,0.285820584,0.107398674,2.661304605,0.00778385,0.027771757
ko:K00035,3029.243014,-0.930684607,0.232573772,-4.001674821,6.28956986761275e-05,0.000425623
ko:K00038,2804.332943,1.879525151,0.440665582,4.265196164,1.9972664424037e-05,0.000152152
ko:K00041,627.9098687,-0.647803584,0.2079407,-3.115328474,0.001837402,0.008109824
ko:K00042,7371.859381,0.371516473,0.141037734,2.634163647,0.008434483,0.029696407
ko:K00046,8125.655295,-1.312536501,0.472625664,-2.777116442,0.005484353,0.020620909
ko:K00052,46527.26963,0.292211386,0.088468946,3.302982553,0.000956623,0.004623462
ko:K00054,2049.620712,0.906582564,0.117137856,7.73944987,9.984789676290711e-15,2.66067714942485e-13
ko:K00055,3560.504639,0.964314066,0.159382191,6.050325086,1.44553836398631e-09,2.21029699369526e-08
ko:K00065,4774.587574,0.757544813,0.223664077,3.386975781,0.000706676,0.003548187
ko:K00066,29239.90864,-1.667208686,0.366853023,-4.544622997,5.5033664424687e-06,4.90188894501165e-05
ko:K00073,766.2277665,1.586382498,0.119753241,13.24709452,4.690119296520549e-40,8.14052597898783e-38
ko:K00074,48365.32466,0.337859229,0.126952893,2.661296021,0.007784049,0.027771757
ko:K00087,13836.5099,-0.722908274,0.274367808,-2.63481448,0.008418328,0.029655789
ko:K00088,31528.63835,0.615657241,0.142092783,4.332783335,1.47235992707951e-05,0.000116018
ko:K00090,19954.37228,-1.870558935,0.169853804,-11.01275859,3.3168946099364298e-28,3.38112653730345e-26
ko:K00091,5349.350035,0.727871819,0.189404582,3.842947262,0.000121566,0.000776038
ko:K00099,39334.65856,1.811904529,0.384603043,4.711102942,2.46379737092612e-06,2.34874695494576e-05
ko:K00101,10745.72501,0.705472781,0.19587326,3.601679892,0.000316168,0.001765589
ko:K00103,5571.568236,-0.353851449,0.142636705,-2.480788157,0.013109226,0.042641268
ko:K00107,156.4349769,-1.151798919,0.252202693,-4.56695726,4.94854858748721e-06,4.45422995050142e-05
ko:K00108,17891.4197,-0.807019011,0.220524684,-3.6595405,0.000252668,0.001450074
ko:K00112,823.1364841,-0.564395051,0.152732258,-3.695323164,0.000219607,0.00127978
ko:K00114,57468.97901,-0.430038211,0.132689322,-3.240940597,0.00119136,0.005596865
ko:K00117,44499.49021,0.632854021,0.181054143,3.495385475,0.000473378,0.002502083
ko:K00122,15501.9743,0.738557225,0.174404432,4.234738858,2.28817455115146e-05,0.000172069
ko:K00125,210.2237339,-1.33803307,0.519493503,-2.575649287,0.010005207,0.03421376
ko:K00127,4892.409604,-0.469891577,0.142008949,-3.308887079,0.000936676,0.004546738
ko:K00131,3515.989699,1.021492075,0.121632166,8.398206735,4.53348532068777e-17,1.48541034333964e-15
ko:K00133,81245.6467,1.014473707,0.342421639,2.962644852,0.003050083,0.012500083
ko:K00134,112104.1352,1.622069682,0.574252774,2.824661467,0.004733059,0.01819013
ko:K00137,4843.775305,0.57918844,0.136457163,4.244470785,2.19109910552051e-05,0.000165739
ko:K00140,39102.20732,0.364885446,0.105771139,3.449763799,0.000561077,0.002905837
ko:K00141,5616.081267,1.170505052,0.206228929,5.67575586,1.38077590115351e-08,1.85898172687795e-07
ko:K00146,14015.94711,0.867159699,0.164645824,5.266818652,1.38808205132723e-07,1.6507894321525e-06
ko:K00150,2226.188848,0.685014625,0.22404435,3.05749564,0.002231949,0.009594094
ko:K00151,10426.13112,-0.528156266,0.19430627,-2.718163783,0.006564533,0.024048736
ko:K00153,3159.591818,-1.243340581,0.180085135,-6.904182202,5.04934586987254e-12,1.05282140182862e-10
ko:K00158,2857.069915,0.375998097,0.111392293,3.375440865,0.000736975,0.003679256
ko:K00163,154344.6119,-0.797162028,0.166881834,-4.776805305,1.78102062029881e-06,1.73825447166549e-05
ko:K00169,13418.40292,1.153396163,0.216149614,5.336100953,9.49665407895092e-08,1.15070778292496e-06
ko:K00170,5323.031102,0.863229062,0.205364693,4.203395667,2.62940377493865e-05,0.000193647
ko:K00172,2056.942577,1.709295227,0.133739644,12.780767,2.09988400836358e-37,3.1361523492351e-35
ko:K00174,64796.88195,1.118096874,0.16208243,6.898322511,5.262017906143629e-12,1.0936142069014401e-10
ko:K00175,30684.27479,0.604931659,0.144424901,4.188555129,2.80736117343269e-05,0.000205137
ko:K00179,1450.94445,1.269786635,0.272670884,4.656847165,3.21088625042292e-06,3.01026445258628e-05
ko:K00183,39.21434495,9.146082858,1.230544499,7.432549467,1.0652424439527999e-13,2.5058560348222998e-12
ko:K00215,22359.18364,0.590829397,0.133486259,4.426143957,9.59325153853738e-06,7.96489859975738e-05
ko:K00217,4677.156699,-0.783847188,0.20688041,-3.788890345,0.000151322,0.000930831
ko:K00230,968.6481651,-1.195357924,0.442340827,-2.702345906,0.006885209,0.025056161
ko:K00237,281.9784217,1.680802527,0.310760707,5.408671337,6.34940261002715e-08,7.81146811524797e-07
ko:K00245,769.3429007,0.773121277,0.260188912,2.971384408,0.002964605,0.01219647
ko:K00249,108028.9117,0.326838734,0.101093075,3.23304769,0.001224771,0.005713076
ko:K00252,31364.59676,1.031457125,0.32274925,3.1958467,0.001394212,0.00636363
ko:K00254,163826.9146,3.718609607,0.455048483,8.171897595,3.0357617083379397e-16,9.418194053597221e-15
ko:K00255,2255.358759,0.664032377,0.185122354,3.586991856,0.000334515,0.001856745
ko:K00256,1634.775561,0.536420461,0.159986,3.35292126,0.000799635,0.003947158
ko:K00259,13032.88348,0.809175464,0.228890558,3.535206838,0.000407456,0.002202595
ko:K00260,6675.862806,-0.291850742,0.115651993,-2.523525403,0.011618467,0.038560099
ko:K00262,18245.00871,0.493063515,0.140684237,3.504753081,0.000457031,0.00242366
ko:K00265,402393.3299,-2.639929148,0.388416158,-6.796651211,1.0707891116178299e-11,2.13559244559308e-10
ko:K00266,76246.26616,-1.691146669,0.331256804,-5.105243576,3.30368697094706e-07,3.70913946283601e-06
ko:K00270,1071.59833,0.250216201,0.100829093,2.481587353,0.013079865,0.042574197
ko:K00274,34746.90442,-0.384774258,0.103207576,-3.728159066,0.000192884,0.001155234
ko:K00280,294.4488337,-1.321485633,0.218903637,-6.03683727,1.5716407027747101e-09,2.39740536656037e-08
ko:K00282,13556.3154,0.858461285,0.210489085,4.078412352,4.53442905310038e-05,0.000314812
ko:K00283,37362.28648,0.571211149,0.172940722,3.302930289,0.000956802,0.004623462
ko:K00284,174631.4344,-3.44660572,0.371334389,-9.281676641,1.66832303027784e-20,8.50315119082878e-19
ko:K00285,16531.84906,-0.518790334,0.157698252,-3.289765914,0.001002708,0.004816296
ko:K00287,7707.690323,-0.425276821,0.140169971,-3.034008048,0.00241328,0.010284063
ko:K00294,45193.40071,-1.701477782,0.174146816,-9.770364008,1.50908890681699e-22,8.973489777387681e-21
ko:K00297,58797.49367,1.180815244,0.260635235,4.530528061,5.88364389726383e-06,5.19852339342845e-05
ko:K00301,1310.082785,-0.415898874,0.163366185,-2.545807592,0.010902526,0.036715272
ko:K00310,221.3493412,-1.132728221,0.37250742,-3.04082056,0.002359344,0.010074273
ko:K00311,8294.488041,-1.311794077,0.204920507,-6.401477807,1.53880183741443e-10,2.70005065570368e-09
ko:K00316,2363.411465,-0.711633912,0.138432008,-5.140674626,2.73753762194016e-07,3.11710400852832e-06
ko:K00320,10068.65864,1.491691401,0.239578614,6.226312844,4.77540060675197e-10,7.803466335002831e-09
ko:K00322,4780.139865,0.285654559,0.111627324,2.559002116,0.01049731,0.035626255
ko:K00325,12233.26111,0.551875882,0.074401159,7.417571067,1.19287685472185e-13,2.7856927858268e-12
ko:K00332,8221.825111,0.288955861,0.091622677,3.153759206,0.00161182,0.007213317
ko:K00338,8612.61313,0.354168826,0.099502253,3.55940507,0.000371696,0.002028064
ko:K00339,8644.405874,0.613704255,0.074699106,8.215684108,2.10958119382466e-16,6.673758830907371e-15
ko:K00340,10905.65554,0.412973099,0.151896085,2.718786988,0.006552179,0.024017176
ko:K00343,41548.12551,-1.225563584,0.23774317,-5.154989675,2.53644904820285e-07,2.89841206184319e-06
ko:K00344,18695.28584,1.171097663,0.170519584,6.867819125,6.51908017650101e-12,1.3375569614533401e-10
ko:K00346,56.99579421,1.82613577,0.475718127,3.838692847,0.000123691,0.000787259
ko:K00362,14874.46528,-0.310821266,0.100688456,-3.086960292,0.002022146,0.008840178
ko:K00364,2157.327232,0.673353823,0.122986178,5.475036594,4.37421208094654e-08,5.54066863586562e-07
ko:K00365,2889.401335,2.284133007,0.382537528,5.971003737,2.35798341284592e-09,3.52982971498753e-08
ko:K00368,18420.21708,0.726647501,0.173826302,4.180308112,2.91114378459646e-05,0.000211247
ko:K00373,256.9953768,0.569863929,0.182580659,3.121162627,0.001801385,0.007978273
ko:K00374,301.4903329,1.145607912,0.246527956,4.646969581,3.36846813452145e-06,3.14422999417104e-05
ko:K00383,8032.978517,-0.599543187,0.195419007,-3.067988089,0.002155052,0.009342897
ko:K00395,517.9853943,0.945974939,0.241468661,3.917588879,8.94390736470484e-05,0.000587298
ko:K00406,5235.479336,-0.776228734,0.135900503,-5.711742929,1.11824922768584e-08,1.52795671068053e-07
ko:K00410,3754.310586,1.224707598,0.191237495,6.404118608,1.51240508057792e-10,2.6610042267044904e-09
