KO,Gene
ko:K00294,BareSoil-2.bin.10-k141_149911_5
ko:K00153,BareSoil-2.bin.10-k141_3389313_1
ko:K00153,BareSoil-2.bin.10-k141_3389313_2
ko:K04567,BareSoil-2.bin.10-k141_1402174_3
ko:K01918,BareSoil-2.bin.10-k141_1402174_5
ko:K01868,BareSoil-2.bin.10-k141_2212389_1
ko:K00163,BareSoil-2.bin.10-k141_4422853_1
ko:K01077,BareSoil-2.bin.10-k141_447633_2
ko:K13281,BareSoil-2.bin.10-k141_447633_4
ko:K02835,BareSoil-2.bin.10-k141_4570418_3
ko:K00820,BareSoil-2.bin.10-k141_2146759_2
ko:K07560,BareSoil-2.bin.10-k141_3392725_2
ko:K01665,BareSoil-2.bin.10-k141_1856249_3
ko:K01665,BareSoil-2.bin.10-k141_1856249_4
ko:K02083,BareSoil-2.bin.10-k141_1780211_5
ko:K01602,BareSoil-2.bin.10-k141_2664994_4
ko:K05566,BareSoil-2.bin.10-k141_4133660_1
ko:K05571,BareSoil-2.bin.10-k141_4133660_3
ko:K11070,BareSoil-2.bin.10-k141_1277936_4
ko:K04655,BareSoil-2.bin.10-k141_305662_5
ko:K06282,BareSoil-2.bin.10-k141_305662_8
ko:K00786,BareSoil-2.bin.10-k141_1278678_2
ko:K07447,BareSoil-2.bin.10-k141_1869674_5
ko:K19333,BareSoil-2.bin.10-k141_2975366_4
ko:K01918,BareSoil-2.bin.10-k141_2534741_6
ko:K00939,BareSoil-2.bin.10-k141_1873436_10
ko:K01755,BareSoil-2.bin.10-k141_458960_2
ko:K02302,BareSoil-2.bin.10-k141_458960_4
ko:K02303,BareSoil-2.bin.10-k141_458960_4
ko:K03529,BareSoil-2.bin.10-k141_4360324_7
ko:K01114,BareSoil-2.bin.10-k141_1121567_3
ko:K07164,BareSoil-2.bin.10-k141_3256740_4
ko:K07183,BareSoil-2.bin.10-k141_3049112_2
ko:K00996,BareSoil-2.bin.10-k141_2593267_1
ko:K01637,BareSoil-2.bin.10-k141_4141611_2
ko:K03980,BareSoil-2.bin.10-k141_1879036_2
ko:K02113,BareSoil-2.bin.10-k141_2225949_4
ko:K04042,BareSoil-2.bin.10-k141_2544865_3
ko:K00786,BareSoil-2.bin.10-k141_2031274_3
ko:K01191,BareSoil-2.bin.10-k141_1640763_1
ko:K02057,BareSoil-2.bin.10-k141_1509279_5
ko:K18336,BareSoil-2.bin.10-k141_2034166_4
ko:K00451,BareSoil-2.bin.10-k141_2034166_5
ko:K00457,BareSoil-2.bin.10-k141_2034166_6
ko:K07140,BareSoil-2.bin.10-k141_2475694_2
ko:K07486,BareSoil-2.bin.10-k141_1805003_2
ko:K15866,BareSoil-2.bin.10-k141_3728092_3
ko:K00805,BareSoil-2.bin.10-k141_2551954_6
ko:K00619,BareSoil-2.bin.10-k141_3631157_2
ko:K00163,BareSoil-2.bin.10-k141_3631157_4
ko:K00294,BareSoil-2.bin.10-k141_931460_5
ko:K03151,BareSoil-2.bin.10-k141_4099967_2
ko:K09123,BareSoil-2.bin.10-k141_475932_6
ko:K16329,BareSoil-2.bin.10-k141_3264581_7
ko:K01200,BareSoil-2.bin.10-k141_3063347_2
ko:K01214,BareSoil-2.bin.10-k141_3063347_2
ko:K08604,BareSoil-2.bin.10-k141_3950600_8
ko:K00820,BareSoil-2.bin.10-k141_832869_2
ko:K00789,BareSoil-2.bin.10-k141_4296353_1
ko:K02021,BareSoil-2.bin.10-k141_3561047_2
ko:K16786,BareSoil-2.bin.10-k141_3561047_2
ko:K16787,BareSoil-2.bin.10-k141_3561047_2
ko:K00285,BareSoil-2.bin.10-k141_1308301_3
ko:K07343,BareSoil-2.bin.10-k141_3005178_2
ko:K01214,BareSoil-2.bin.10-k141_2048508_1
ko:K05566,BareSoil-2.bin.10-k141_2564942_3
ko:K05571,BareSoil-2.bin.10-k141_2564942_5
ko:K08604,BareSoil-2.bin.10-k141_4521768_6
ko:K01868,BareSoil-2.bin.10-k141_3344681_10
ko:K20427,BareSoil-2.bin.10-k141_2750603_2
ko:K15866,BareSoil-2.bin.10-k141_3642338_2
ko:K00457,BareSoil-2.bin.10-k141_3642338_3
ko:K00451,BareSoil-2.bin.10-k141_3642338_4
ko:K02029,BareSoil-2.bin.10-k141_1141156_2
ko:K02029,BareSoil-2.bin.10-k141_1141156_3
ko:K21947,BareSoil-2.bin.10-k141_767378_2
ko:K16703,BareSoil-2.bin.10-k141_122103_5
ko:K02233,BareSoil-2.bin.10-k141_3786298_3
ko:K02057,BareSoil-2.bin.10-k141_1215473_2
ko:K02057,BareSoil-2.bin.10-k141_1215473_3
ko:K03635,BareSoil-2.bin.10-k141_501784_2
ko:K12280,BareSoil-2.bin.10-k141_1948803_4
ko:K00284,BareSoil-2.bin.10-k141_3869618_4
ko:K00872,BareSoil-2.bin.10-k141_4601897_4
ko:K00294,BareSoil-2.bin.10-k141_4310122_2
ko:K08282,BareSoil-2.bin.10-k141_509197_1
ko:K02356,BareSoil-2.bin.10-k141_779656_6
ko:K18233,BareSoil-2.bin.10-k141_422829_3
ko:K11754,BareSoil-2.bin.10-k141_3655951_1
ko:K00087,BareSoil-2.bin.10-k141_1233285_5
ko:K02021,BareSoil-2.bin.10-k141_4248525_1
ko:K16786,BareSoil-2.bin.10-k141_4248525_1
ko:K16787,BareSoil-2.bin.10-k141_4248525_1
ko:K00284,BareSoil-2.bin.10-k141_1688657_1
ko:K03154,BareSoil-2.bin.10-k141_2632013_2
ko:K00855,BareSoil-2.bin.10-k141_3306519_2
ko:K18233,BareSoil-2.bin.10-k141_657026_6
ko:K06208,BareSoil-2.bin.10-k141_4338621_3
ko:K00945,BareSoil-2.bin.10-k141_4338621_6
ko:K08999,BareSoil-2.bin.10-k141_4338621_13
ko:K02302,BareSoil-2.bin.10-k141_4267668_5
ko:K03980,BareSoil-2.bin.10-k141_365253_2
ko:K03635,BareSoil-2.bin.10-k141_4196128_2
ko:K18866,BareSoil-2.bin.10-k141_4343426_5
ko:K17760,BareSoil-2.bin.11-k141_73935_1
ko:K00939,BareSoil-2.bin.11-k141_4051297_17
ko:K03297,BareSoil-2.bin.11-k141_1769321_24
ko:K17837,BareSoil-2.bin.11-k141_1769321_51
ko:K17837,BareSoil-2.bin.11-k141_1769321_56
ko:K06872,BareSoil-2.bin.11-k141_2137590_5
